시도명,방문자수,전년도 방문자수
서울특별시,5.81315434E8,5.09740022E8
부산광역시,1.45410093E8,1.28799621E8
대구광역시,1.04346722E8,8.8500528E7
인천광역시,1.69860621E8,1.41479228E8
광주광역시,6.7371885E7,5.7175218E7
대전광역시,7.9202198E7,7.0847447E7
울산광역시,4.8410833E7,4.4694823E7
세종특별자치시,2.7408594E7,2.6154374E7
경기도,6.19674801E8,5.68174855E8
강원도,1.56375866E8,1.4110209E8
충청북도,1.11832537E8,1.0026441E8
충청남도,1.64010041E8,1.4834716E8
전라북도,9.9588684E7,8.5030698E7
전라남도,1.32723227E8,1.17592392E8
경상북도,1.85539258E8,1.65303228E8
경상남도,1.55215432E8,1.44197558E8
제주특별자치도,6.7592919E7,6.4095843E7
